"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0373","Otu0373",1425,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0374","Otu0374",1423,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"Otu0375","Otu0375",1420,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0376","Otu0376",1414,"Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Otu0377","Otu0377",1412,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera"
"Otu0378","Otu0378",1403,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"Otu0379","Otu0379",1397,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacterales_unclassified","Enterobacterales_unclassified"
"Otu0380","Otu0380",1392,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu0381","Otu0381",1385,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0382","Otu0382",1384,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium"
"Otu0383","Otu0383",1379,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0384","Otu0384",1374,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0385","Otu0385",1365,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0386","Otu0386",1351,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella"
"Otu0387","Otu0387",1338,"Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Otu0388","Otu0388",1316,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Ihubacter"
"Otu0389","Otu0389",1312,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu0390","Otu0390",1300,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0391","Otu0391",1297,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Mediterraneibacter"
"Otu0392","Otu0392",1281,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister"
"Otu0393","Otu0393",1280,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu0394","Otu0394",1275,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Murdochiella"
"Otu0395","Otu0395",1263,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0396","Otu0396",1237,"Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Otu0397","Otu0397",1227,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0398","Otu0398",1226,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0399","Otu0399",1225,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0400","Otu0400",1222,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Extibacter"
"Otu0401","Otu0401",1198,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Allisonella"
"Otu0402","Otu0402",1194,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0403","Otu0403",1190,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0404","Otu0404",1184,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0405","Otu0405",1181,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0406","Otu0406",1177,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinotignum"
"Otu0407","Otu0407",1176,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces"
"Otu0408","Otu0408",1175,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Finegoldia"
"Otu0409","Otu0409",1172,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila"
"Otu0410","Otu0410",1146,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0411","Otu0411",1139,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter"
"Otu0412","Otu0412",1134,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Fenollaria"
"Otu0413","Otu0413",1126,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Cellulosilyticum"
"Otu0414","Otu0414",1113,"Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Otu0415","Otu0415",1105,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu0416","Otu0416",1104,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0417","Otu0417",1098,"Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"Otu0418","Otu0418",1095,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unclassified"
"Otu0419","Otu0419",1089,"Firmicutes","Negativicutes","Selenomonadales","Selenomonadales_unclassified","Selenomonadales_unclassified"
"Otu0420","Otu0420",1088,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0421","Otu0421",1086,"Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium"
"Otu0422","Otu0422",1079,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0423","Otu0423",1074,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Criibacterium"
"Otu0424","Otu0424",1073,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseriaceae_unclassified"
"Otu0425","Otu0425",1071,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia"
"Otu0426","Otu0426",1067,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0427","Otu0427",1049,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0428","Otu0428",1049,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0429","Otu0429",1047,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu0430","Otu0430",1046,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"Otu0431","Otu0431",1045,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Otu0432","Otu0432",1034,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0433","Otu0433",1033,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0434","Otu0434",1005,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0435","Otu0435",997,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0436","Otu0436",988,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0437","Otu0437",983,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0438","Otu0438",976,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0439","Otu0439",974,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"Otu0440","Otu0440",964,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0441","Otu0441",963,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"Otu0442","Otu0442",962,"Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Terrimonas"
"Otu0443","Otu0443",960,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"Otu0444","Otu0444",934,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella"
"Otu0445","Otu0445",926,"Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium"
"Otu0446","Otu0446",924,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0447","Otu0447",921,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0448","Otu0448",920,"Cyanobacteria/Chloroplast","Cyanobacteria","Family_II","Family_II_unclassified","Family_II_unclassified"
"Otu0449","Otu0449",918,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0450","Otu0450",915,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0451","Otu0451",910,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0452","Otu0452",908,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"Otu0453","Otu0453",907,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu0454","Otu0454",906,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0455","Otu0455",906,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0456","Otu0456",892,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0457","Otu0457",892,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Dysosmobacter"
"Otu0458","Otu0458",885,"Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia"
"Otu0459","Otu0459",884,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Monoglobus"
"Otu0460","Otu0460",877,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0461","Otu0461",862,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0462","Otu0462",861,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0463","Otu0463",855,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"Otu0464","Otu0464",854,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus"
"Otu0465","Otu0465",849,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter"
"Otu0466","Otu0466",848,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0467","Otu0467",847,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0468","Otu0468",838,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0469","Otu0469",821,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0470","Otu0470",816,"Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma"
"Otu0471","Otu0471",803,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Duncaniella"
"Otu0472","Otu0472",793,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Otu0473","Otu0473",788,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptacetobacter"
"Otu0474","Otu0474",784,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0475","Otu0475",778,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium"
"Otu0476","Otu0476",773,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0477","Otu0477",767,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0478","Otu0478",756,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Nosocomiicoccus"
"Otu0479","Otu0479",755,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0480","Otu0480",755,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0481","Otu0481",755,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Helcococcus"
"Otu0482","Otu0482",747,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Ezakiella"
"Otu0483","Otu0483",741,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus"
"Otu0484","Otu0484",738,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu0485","Otu0485",737,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
