"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0748","Otu0748",233,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Otu0749","Otu0749",232,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0750","Otu0750",230,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0751","Otu0751",229,"Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu0752","Otu0752",225,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0753","Otu0753",225,"Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas"
"Otu0754","Otu0754",224,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0755","Otu0755",224,"Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcaceae_unclassified"
"Otu0756","Otu0756",223,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0757","Otu0757",222,"Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Senegalimassilia"
"Otu0758","Otu0758",219,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"Otu0759","Otu0759",217,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0760","Otu0760",216,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Negativibacillus"
"Otu0761","Otu0761",216,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0762","Otu0762",214,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0763","Otu0763",213,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu0764","Otu0764",213,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Otu0765","Otu0765",213,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0766","Otu0766",212,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter"
"Otu0767","Otu0767",212,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0768","Otu0768",212,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0770","Otu0770",211,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0772","Otu0772",210,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0773","Otu0773",210,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0775","Otu0775",209,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia"
"Otu0776","Otu0776",208,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu0777","Otu0777",207,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0778","Otu0778",207,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0779","Otu0779",207,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0780","Otu0780",207,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella"
"Otu0781","Otu0781",205,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0782","Otu0782",205,"Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium"
"Otu0785","Otu0785",204,"Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophagaceae_unclassified"
"Otu0786","Otu0786",203,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Rubneribacter"
"Otu0787","Otu0787",202,"Tenericutes","Mollicutes","Mycoplasmoidales","Metamycoplasmataceae","Mycoplasmopsis"
"Otu0788","Otu0788",202,"Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacteriaceae_unclassified"
"Otu0790","Otu0790",200,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Oligella"
"Otu0791","Otu0791",200,"Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
"Otu0793","Otu0793",199,"Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Chitinibacter"
"Otu0794","Otu0794",199,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0795","Otu0795",198,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0796","Otu0796",198,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus"
"Otu0797","Otu0797",197,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"Otu0798","Otu0798",195,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia"
"Otu0799","Otu0799",194,"Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Alloiococcus"
"Otu0800","Otu0800",194,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Clostridiales_Incertae_Sedis_XIII_unclassified"
"Otu0801","Otu0801",194,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0802","Otu0802",193,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0805","Otu0805",192,"Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas"
"Otu0807","Otu0807",191,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0808","Otu0808",188,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio"
"Otu0810","Otu0810",185,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0811","Otu0811",184,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0813","Otu0813",183,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0814","Otu0814",183,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Colidextribacter"
"Otu0815","Otu0815",183,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0816","Otu0816",183,"Cyanobacteria/Chloroplast","Cyanobacteria/Chloroplast_unclassified","Cyanobacteria/Chloroplast_unclassified","Cyanobacteria/Chloroplast_unclassified","Cyanobacteria/Chloroplast_unclassified"
"Otu0817","Otu0817",183,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0818","Otu0818",180,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0819","Otu0819",180,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0820","Otu0820",179,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0821","Otu0821",178,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroidaceae_unclassified"
"Otu0822","Otu0822",178,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomycetaceae_unclassified"
"Otu0823","Otu0823",176,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0824","Otu0824",176,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0825","Otu0825",175,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0826","Otu0826",174,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister"
"Otu0827","Otu0827",174,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0828","Otu0828",174,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu0829","Otu0829",173,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0831","Otu0831",172,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0832","Otu0832",171,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0833","Otu0833",171,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0834","Otu0834",171,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu0835","Otu0835",171,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu0836","Otu0836",170,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0837","Otu0837",170,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0838","Otu0838",169,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0839","Otu0839",169,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0840","Otu0840",167,"Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_X","Thermicanus"
"Otu0841","Otu0841",165,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0842","Otu0842",165,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0843","Otu0843",164,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unclassified"
"Otu0844","Otu0844",164,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0845","Otu0845",164,"Cyanobacteria/Chloroplast","Cyanobacteria","Family_II","GpIIa","GpIIa_unclassified"
"Otu0846","Otu0846",163,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0847","Otu0847",163,"Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Otu0849","Otu0849",162,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Otu0850","Otu0850",161,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0851","Otu0851",160,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0853","Otu0853",160,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0854","Otu0854",159,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0855","Otu0855",158,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"Otu0856","Otu0856",158,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0857","Otu0857",158,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0858","Otu0858",157,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0859","Otu0859",157,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0863","Otu0863",154,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0865","Otu0865",153,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0866","Otu0866",153,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu0867","Otu0867",152,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0869","Otu0869",150,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia"
"Otu0870","Otu0870",149,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella"
"Otu0871","Otu0871",149,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0872","Otu0872",147,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0875","Otu0875",146,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas"
"Otu0876","Otu0876",146,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0877","Otu0877",145,"Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella"
"Otu0878","Otu0878",144,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0879","Otu0879",144,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0883","Otu0883",142,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0884","Otu0884",142,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"Otu0885","Otu0885",140,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcaceae_unclassified"
"Otu0886","Otu0886",140,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Kallipyga"
"Otu0887","Otu0887",140,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc"
"Otu0889","Otu0889",140,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0890","Otu0890",139,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0891","Otu0891",139,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola"
"Otu0892","Otu0892",138,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0893","Otu0893",138,"Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"Otu0896","Otu0896",136,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0897","Otu0897",135,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0898","Otu0898",135,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0899","Otu0899",134,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0900","Otu0900",134,"Planctomycetes","Planctomycetacia","Pirellulales","Pirellulales_unclassified","Pirellulales_unclassified"
"Otu0902","Otu0902",134,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0903","Otu0903",133,"Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus"
"Otu0905","Otu0905",132,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0906","Otu0906",132,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0907","Otu0907",131,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia"
"Otu0908","Otu0908",131,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu0910","Otu0910",131,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Otu0911","Otu0911",131,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0912","Otu0912",130,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0913","Otu0913",128,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Howardella"
"Otu0914","Otu0914",127,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0916","Otu0916",125,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0917","Otu0917",125,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0918","Otu0918",125,"Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"Otu0920","Otu0920",124,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0921","Otu0921",124,"Planctomycetes","Planctomycetacia","Planctomycetales","Gemmataceae","Gemmataceae_unclassified"
"Otu0924","Otu0924",123,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"Otu0925","Otu0925",123,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0927","Otu0927",122,"Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu0929","Otu0929",121,"Firmicutes","Negativicutes","Negativicutes_unclassified","Negativicutes_unclassified","Negativicutes_unclassified"
"Otu0931","Otu0931",121,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu0934","Otu0934",120,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0936","Otu0936",119,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0938","Otu0938",118,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Negativibacillus"
"Otu0939","Otu0939",117,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes"
"Otu0940","Otu0940",117,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0942","Otu0942",116,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0943","Otu0943",116,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0944","Otu0944",115,"Proteobacteria","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas"
"Otu0945","Otu0945",115,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0948","Otu0948",114,"Parcubacteria","Parcubacteria_unclassified","Parcubacteria_unclassified","Parcubacteria_unclassified","Parcubacteria_unclassified"
"Otu0949","Otu0949",114,"Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"Otu0951","Otu0951",112,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Otu0952","Otu0952",112,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus"
"Otu0953","Otu0953",110,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"Otu0956","Otu0956",109,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu0958","Otu0958",108,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0959","Otu0959",108,"Firmicutes","Clostridia","Clostridiales","Tissierellaceae","Anaerosalibacter"
"Otu0960","Otu0960",107,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_unclassified"
"Otu0961","Otu0961",107,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu0963","Otu0963",106,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Paeniclostridium"
"Otu0964","Otu0964",106,"Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomycetaceae_unclassified"
"Otu0965","Otu0965",105,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Otu0967","Otu0967",105,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0968","Otu0968",105,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0969","Otu0969",105,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0970","Otu0970",104,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0971","Otu0971",104,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerobutyricum"
"Otu0972","Otu0972",104,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Winkia"
"Otu0973","Otu0973",103,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_unclassified"
"Otu0975","Otu0975",103,"Armatimonadetes","Armatimonadetes_gp5","Armatimonadetes_gp5_unclassified","Armatimonadetes_gp5_unclassified","Armatimonadetes_gp5_unclassified"
"Otu0976","Otu0976",102,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu0977","Otu0977",102,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu0979","Otu0979",101,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fournierella"
"Otu0980","Otu0980",101,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0982","Otu0982",101,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0985","Otu0985",99,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus"
"Otu0987","Otu0987",98,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0988","Otu0988",98,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0989","Otu0989",98,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0991","Otu0991",97,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu0992","Otu0992",97,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerotignum"
"Otu0995","Otu0995",95,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0998","Otu0998",95,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0999","Otu0999",95,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unclassified"
"Otu1000","Otu1000",94,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1001","Otu1001",93,"Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"Otu1003","Otu1003",93,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1004","Otu1004",93,"Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu1010","Otu1010",91,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"Otu1011","Otu1011",91,"Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"Otu1012","Otu1012",91,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu1017","Otu1017",90,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu1018","Otu1018",90,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1019","Otu1019",89,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu1020","Otu1020",89,"Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"Otu1021","Otu1021",88,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1022","Otu1022",88,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1023","Otu1023",88,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1025","Otu1025",88,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1028","Otu1028",87,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu1032","Otu1032",86,"Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"Otu1033","Otu1033",86,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1036","Otu1036",85,"Actinobacteria","Actinobacteria","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
"Otu1037","Otu1037",85,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu1038","Otu1038",85,"Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia"
"Otu1041","Otu1041",84,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus"
"Otu1043","Otu1043",83,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1045","Otu1045",83,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu1046","Otu1046",83,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"Otu1048","Otu1048",82,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1049","Otu1049",82,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc"
"Otu1051","Otu1051",81,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacterales_unclassified","Enterobacterales_unclassified"
"Otu1056","Otu1056",80,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1059","Otu1059",80,"Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Otu1060","Otu1060",79,"Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu1063","Otu1063",79,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
